Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2015-12-06T02:31:14.000Z,image,"昨日トークイベントにお越しいただきました皆さん、ありがとうございました！
楽し過ぎてビックリするくらい時間が経つのが早かったです（笑）
とても素敵な時間をありがとうございました(*^_^*)

まどか",,https://pbs.twimg.com/media/CVgk-51VAAALuVW?format=jpg&name=small,444,200,10
2015-12-05T05:55:59.000Z,image,"Aice5トークショーの楽屋でパシャリッ💜💋💜もうすぐ2回目よ〜👋

智秋💜",,https://pbs.twimg.com/media/CVcKQdxUkAAxgtm?format=jpg&name=small,188,107,10
2015-12-05T02:38:36.000Z,text,ゆい：準備中やで(*´∇｀*),,,128,48,20
2015-12-05T00:02:34.000Z,text,"おはようございます！
ライブ前はほぼ毎日会っていたから久しぶりな感じだね(*^_^*)
楽しみー！！
皆さん、どうぞよろしくお願いいたします♪

まどか",,,107,53,13
2015-12-04T23:43:50.000Z,text,"おはようございます！今日はAice5トークイベントです。なんかメンバーに会うのが久しぶりな気がしちゃう。今日の私はほっちゃんプロデュースでお届けします〜。気をつけていらしてくださいね！

あけみ",,,111,74,6
2015-12-04T14:20:28.000Z,text,ゆい：明日はAice5のイベントですよー(*´∇｀*)みんなで服、何着る？みたいな相談したり♪,,,126,57,25
2015-11-29T05:23:17.000Z,text,ゆい：ライブの感想たくさんありがとうございました♪(*´∇｀*)筋肉痛とかはなかったですよ〜♪（笑）,,,112,33,15
2015-11-24T09:11:45.000Z,text,"ゆい：ふふふ。キングさんもプレゼントに協力してくれました♪(*´∇｀*)
 RT : ブログを更新しました。 『2015年11月22日のこと。』
⇒ ",,,117,59,7
2015-11-23T00:51:46.000Z,image,"昨日のライブ…最高に楽しかったワ💜

新しいキャラクター「セクシーギプスAice5パープル💜」も盛り上げて下さって感謝感謝🙏🙇

集合集合をパシャリッ✌️

皆様、本当〜〜にありがとう😘💜💋💜",,https://pbs.twimg.com/media/CUdRjOrUYAE8VbQ?format=jpg&name=small,1.1K,1K,52
2015-11-22T23:57:37.000Z,text,"昨日はNHKホールまで足を運んでいただきましてありがとうございました！
たくさんのAice5コール、とっても嬉しかったです(*^_^*)
皆さんの笑顔にパワーをいただきめちゃくちゃ楽しい時間になりました♪
ありがとうございましたー！！

まどか",,,295,170,29
2015-11-22T14:57:57.000Z,text,★ますみ★今日はたくさんの声援ありがとう！！忘れられない1日になりました！！みんなのおかげだよ〜！,,,294,144,35
2015-11-22T14:41:13.000Z,text,"今日は本当にありがとうございました！！そしてサプライズのバースデーのお祝い、すっっごくびっくり嬉しかったよ(>_<) 忙しいなかなか、用意してくれたことを思うと涙がでて止まらなかったよ。ほんとにほんとに、今日起こった全ての出来事に…ありがとうございました！
あけみ",,,331,221,38
2015-11-22T14:15:30.000Z,text,ゆい：今日はライブ、ありがとうございました♪(*´∇｀*)みなさんが本当に暖かくてすごくすごーく嬉しかったです♪Aice5♪,,,370,254,95
2015-11-22T04:56:29.000Z,text,「イヤホンズvsAice5」開演まであと少し！会場では、事前物販を実施中です。現在、Aice5法被、Tシャツ（ブルー）が販売終了となりましたのでご了承下さい。#Aice5  #イヤホンズ,,,112,179,7
2015-11-22T02:14:43.000Z,image,"楽屋にてライブグッズをパシャリッｖ（＾＿＾ｖ）♪

楽しみだワ〜〜💙❤️💚💜💛💖

智秋💜",,https://pbs.twimg.com/media/CUYa9CZUYAE4cY4?format=jpg&name=small,175,133,9
2015-11-21T23:33:37.000Z,text,いよいよ本日、NHKホールでのライブです！会場では本日限定の物販や特典をご用意しています。是非お立ち寄り下さい！事前販売は13時〜開始です。当日券も若干ですがご用意できました。販売は15:30〜です。#Aice5 #イヤホンズ,,,157,214,4
2015-11-21T22:01:16.000Z,text,"おはようございます(*^_^*)
ついにライブ当日！
8年ぶりのライブ、皆さんとめちゃくちゃ楽しい時間を過ごしたいです♪
Aice5コールよろしくお願いします！！

まどか",,,170,142,16
2015-11-21T15:14:27.000Z,text,"今日のリハーサル、ちあきさんの声が合わさって、やっぱりAice5はこうでなくちゃ！って思いました(^-^) 明日は皆んなでめいっぱい楽しみましょう♪NHKホールで待ってます！気を付けていらしてくださいね！！

あけみ",,,141,65,6
2015-11-21T14:47:36.000Z,text,"明日はいよいよライブの日💜

アキレス腱が切れてから、初めてリハーサルが…まさかの今日というワタクシ…😅

皆様、どうか、アツ〜いAice5コール、頼みますワよ〜〜🙏🙇💪

セクシーギプスAice5パープルも…乞うご期待💜💋💜

智秋💜",,,156,129,11
2015-11-21T13:54:47.000Z,text,ゆい：どうかみなさま！Aice5コールめ〜いっぱいお願いします♪ (｀･ω･´)/,,,143,104,29
2015-11-21T13:41:57.000Z,text,ゆい：さーて！いよいよ明日はライブです！！頑張るー！ひたすら頑張るー！素敵なライブになりますように♪(*´∇｀*),,,142,84,27
2015-11-21T03:00:08.000Z,text,"ゆい：うんー♪(*´∇｀*)

 RT : 今日はアルバム発売日だー！そして明日はついにNHKホールにて「イヤホンズvsAice5 それがユニット！」の日だー！！最後のリハーサル、いってきますっ( *｀ω´)

あけみ",,,106,43,6
2015-11-21T01:35:39.000Z,text,"今日はアルバム発売日だー！そして明日はついにNHKホールにて「イヤホンズvsAice5 それがユニット！」の日だー！！最後のリハーサル、いってきますっ( *｀ω´)

あけみ",,,107,69,12
2015-11-20T13:56:32.000Z,text,ゆい：おお！フライングゲットですね(*´∇｀*)ありがとうございます〜♪,,,80,27,12
2015-11-20T10:12:28.000Z,text,ゆい：いよいよ明後日かぁ。どんなライブになるんだろう？(´･_･`)とりあえず、頑張るぞー！,,,120,51,32
2015-11-20T07:31:58.000Z,image,「Aice⁵ ALL SONGS COLLECTION」いよいよ明日11/21発売です！22日「イヤホンズvsAice5」ライブ会場でご購入いただいた方には会場限定ポスターを先着でプレゼント！詳しくはHPをご確認下さい #Aice5,,"https://pbs.twimg.com/media/CUPQYOIUEAALDRp?format=jpg&name=small,https://pbs.twimg.com/media/CUPQYORUEAIwYPU?format=jpg&name=small",204,225,5
2015-11-10T06:15:41.000Z,image,Aice5、ファン投票企画2日目の結果は「Get Back」が1位♫只今LIVE映像を公開中！2位は「Be with you」でした。明日のランキングもお楽しみに！投票は特設サイトから→,,https://pbs.twimg.com/media/CTbfBRBVAAAT4F3?format=jpg&name=360x360,114,119,4
2015-11-09T16:52:15.000Z,text,"ゆい：本当だね♪２位はなんだったんだろうね？
ありがとうございます〜♪

 RT : やっぱりLOVE POWERは強いねー♪ 皆さん投票ありがとうございます( ´ ▽ ` )ﾉ

あけみ",,,73,27,7
2015-11-09T15:49:06.000Z,text,"やっぱりLOVE POWERは強いねー♪ 皆さん投票ありがとうございます( ´ ▽ ` )ﾉ

あけみ",,,57,23,4
2015-11-09T04:22:02.000Z,text,Aice5、「ファン投票映像公開企画」1日目の結果は…「Love Power」が1位！ということでサイトではLIVE映像を公開中です♪ランキングによって公開映像は替わりますのでお見逃しなく！特設サイトはこちら→,,,112,121,1
2015-11-08T14:33:39.000Z,text,ゆい：投票〜♪楽しそう〜(*´∇｀*)今日は１日ハードだったね〜♪,,,68,23,20
2015-11-08T04:09:30.000Z,image,アルバムリリースを記念して特設サイトがオープンしました！特設サイトでは、ファン投票によってAice⁵の貴重なLIVE映像がみれる企画を実施中！ぜひご参加下さい！特設サイトはこちら→,,"https://pbs.twimg.com/media/CTQu8jxUsAAX8vy?format=jpg&name=small,https://pbs.twimg.com/media/CTQu8j2UwAAjhG6?format=jpg&name=360x360",373,430,2
2015-11-07T02:29:42.000Z,image,"それが声優のWEBラジオに、まどかちゃんとオジャマンボーしてまいりましたワ💜

今夜から配信よ〜👋

是非聞いてね〜💜



智秋💜",,https://pbs.twimg.com/media/CTLOgcOU8AAtn5_?format=jpg&name=small,213,126,5
2015-11-03T16:51:42.000Z,text,"天然の上とは…

どこ💜？

智秋💜",,,53,18,2
2015-11-03T16:12:54.000Z,text,ゆい：一問一答、かんちと私の答えがなんとなく合ってる…！,,,60,22,4
2015-11-01T16:37:11.000Z,text,"『時代と寝た女』…

マリリン・モンロー、山口百恵さん…

浅野真澄💚⁇

智秋💜",,,60,15,1
2015-11-01T15:36:46.000Z,text,ゆい：一問一答の本のタイトル、かんちのはミステリーにもなりそう（笑）,,,54,20,7
2015-10-31T18:23:38.000Z,text,ゆい：一問一答、１時間長くなったら〜の答えが、それぞれで面白い♪(*´∇｀*)私は紅茶とかを丁寧に入れてゆったり過ごせる人になりたいんだ〜♪,,,75,29,8
2015-10-31T02:00:45.000Z,text,"一問一答、声優の仕事に対しての価値観がみんな違うのね…

深いわぁ〜❤️💚💙💛💜

智秋💜",,,63,22,3
2015-10-30T16:04:17.000Z,image,"ジャケ撮影で朱ちゃんとパシャリッ❤️💜

楽しかったワ〜💜

智秋💜",,https://pbs.twimg.com/media/CSk8P69U8AA8vhN?format=jpg&name=small,176,82,1
2015-10-30T12:03:47.000Z,text,Aice⁵結成10周年を記念して10/29（木）〜対象期間中に「Aice⁵ ALL SONGS COLLECTION」をご予約いただいた方の中から抽選でAice⁵メンバー全員によるトークイベントにご招待！詳細はこちら→ #Aice5,,,71,58,
2015-10-30T10:18:14.000Z,image,新ビジュアルもあわせて公開！また10月29日に結成10周年を迎えたことを記念して期間限定の予約特典もありますよ〜。対象期間と対象店舗など詳しい情報はこちら→ #Aice5,,https://pbs.twimg.com/media/CSjtA4YUwAAuIZi?format=jpg&name=small,285,286,7
2015-10-30T10:09:19.000Z,image,"続いて通常盤のジャケットです！近代未来の図書館をイメージしたジャケになっています！
アルバム詳細はこちらをご確認下さい→
#Aice5#Aice5",,https://pbs.twimg.com/media/CSjrAdXVAAA3O8C?format=jpg&name=small,196,223,
2015-10-30T10:06:07.000Z,image,11/21(土)発売「Aice⁵ ALL SONGS COLLECTION」のジャケ写を公開しました！今回の衣装は全身ゴールド！結成時の衣装からインスパイアされたデザインになっているんですよ♫まずは初回限定盤！ #Aice5,,https://pbs.twimg.com/media/CSjqRxMUcAAymxT?format=jpg&name=small,255,337,1
2015-10-29T13:07:41.000Z,text,"10年前の今日はAice5のお披露目イベントがあった日です♪
沢山の方が見守ってくださる中、Aice5として初めてのご挨拶はとーっても緊張したのを今でも覚えています(*^_^*)

まどか",,,152,125,8
2015-10-27T03:21:29.000Z,text,"アユーラ良い香りだよね♪
智秋さんのも気になります（≧∇≦）
ちなみに昨夜はきき湯のピンクで癒されましたー！

まどか",,,59,16,1
2015-10-26T13:48:10.000Z,text,ゆい：一問一答、アユーラ良いよね〜♪私も大好き〜♪いい匂い〜(*´∇｀*),,,64,22,7
2015-10-26T12:59:32.000Z,text,"テラアー…💚💛💙❤️💜

きっと毎日がコントね…😅😱

あぶないワ〜😅

智秋💜",,,45,10,3
2015-10-26T10:32:52.000Z,text,"ゆい：テラアーね、テラアー（笑）

 RT : あんがい、うまくやっていけそうな気がしないでもない。
terrace Aice5♡

あけみ",,,59,16,4
2015-10-26T06:13:28.000Z,text,"あんがい、うまくやっていけそうな気がしないでもない。
terrace Aice5♡

あけみ",,,53,16,2
2015-10-25T18:02:47.000Z,text,"みんなで住むとか😂

TERRACE HOUSEならぬ

TERRACE Aice5💚💙❤️💜💛

爆笑😂😂😂😂

智秋💜",,,77,26,5
