Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2013-01-25T16:24:26.000Z,text,今週末のラジオ「天たま」では3/17に行われるライブのチケット先行予約があります(･∀･)   まだゲットされていない方は必聴です！！  #tentama,,,14,51,2
2013-01-23T16:10:57.000Z,text,ほっちゃーん(｀ﾛ´;) RT : 『天たま』やほっちゃんライブなどでお馴染み、ミス・モノクローム(CV：堀江由衣さん)の公式HPオープン  彼女の歌う『モノクローム』ライブ映像公開中。,,,22,29,3
2013-01-21T02:13:26.000Z,text,左下に。。(笑)   ,,,25,60,12
2013-01-17T04:17:15.000Z,text,"由衣ぴょーん！RT : 言葉責め日記、更新です。お料理系乙女塾の前日はパーティーの前日準備のごとく、お買い物をしたり下準備をするのが地味に楽しかったりしてます(笑)
",,,10,8,3
2013-01-15T19:10:20.000Z,text, ありがとうございますみや！よろしくお願いいたしますみや（ノ∀`）つ、使い方あってますか？,,,2,,2
2013-01-15T19:08:31.000Z,image,みや♬RT : 【堀江由衣さん衣装展準備中みや！】1/17開催日に向けて階段入口特設コーナー準備中みや！ほっちゃんの衣装が届いたらここにドドンと設置するみや！もう少々お待ち下さいみや！,,https://pbs.twimg.com/media/BAn-90UCAAAQOJS?format=jpg&name=small,11,4,2
2013-01-15T18:57:24.000Z,text,グッツも絶賛制作中です♬公開まで楽しみにお待ちいただければと思います（ノ∀`）,,,13,5,12
2013-01-14T16:30:38.000Z,text,ライヴに向けて色々とガツガツ準備中しています最近です(･∀･)  盛りだくさんで楽しみ過ぎる内容(･∀･),,,15,9,12
2013-01-13T03:05:23.000Z,text,"セブンイレブンの先行抽選は、以下URLからご確認ください(^-^)/

よろしくお願いいたします♬",,,11,7,4
2013-01-13T03:02:29.000Z,text,BD＆DVD先行の詳細は、12/26発売のライヴBD＆DVD「堀江由衣をめぐる冒険Ⅲ」に封入されている用紙をご確認お願いいたします♬,,,8,4,
2013-01-13T02:59:41.000Z,text,"3/17に行われる「堀江由衣をめぐる冒険Ⅳ」BD＆DVDの封入先行とセブンイレブンWEB先行の抽選申込は明日14日(祝)   23:59までです！！
皆さま、申込はお済みですか〜？(･∀･)",,,10,20,1
2013-01-10T21:06:21.000Z,image,全国を回っている衣装展！14日まではアニメイト名古屋（  ）で開催中です(･∀･)   もちろん！このカラフルなドレスもありますよ〜♬,,https://pbs.twimg.com/media/BARu-9jCMAEZ7tt?format=jpg&name=small,7,21,2
2013-01-10T09:20:01.000Z,text,ほっちゃーーーんヾ(・∀・* ) RT : 秋葉原なう！ アニメイト秋葉原店さんには声優グランプリの看板が出てるよo(^▽^)o 去年発売した声グラ12冊の表紙がずらりo(^▽^)o ,,,9,7,1
2013-01-10T09:16:27.000Z,text,ほっちゃんの絵馬が掲載中です(･∀･) 1名様にプレゼントされます♬ RT : 堀江由衣 : BARKS2013新春お年玉特大企画　堀江由衣 / BARKSニュース ,,,15,10,2
2013-01-10T06:00:30.000Z,text,"本日発売の声優アニメディアでほっちゃんの晴れ着なう♪
付録では声アニさん史上最大のグリーティングカードも付いてますよん！",,,9,16,3
2013-01-07T02:43:10.000Z,text,"年末に発売されたPick-up Voiceなう！5ページに渡って撮り下ろし＆インタビューが掲載されています！
つけ襟もかわいいです♡",,,8,3,4
2013-01-05T15:19:11.000Z,text,"RT : 夢の豪華タッグ【はじめまして。】が贈る人気シリーズ、
『それが声優!』の番外編が入荷しました！新人声優3人娘が飛び込んでいく業界の舞台裏に、今回は堀江由衣さん公認のキャラクター「ゆりえほい」さんが出演！",,,11,6,2
2013-01-05T03:29:02.000Z,text,"楽しみです！RT : 【放送】皆様、お待たせしました！いよいよ今晩、「AKB0048」が帰ってきます！！tvk、チバテレで25:00〜、TOKYO MXで25:30〜、next stage放送開始です！！ #akb0048, #akb48",,,7,7,1
2013-01-04T17:53:37.000Z,image,"そして、ほっちゃんがランチで食べたエビ(((o(*ﾟ▽ﾟ*)o)))
風景とご飯ですみません！！！(笑)   他なにかあったらまたアップしますね♬",,https://pbs.twimg.com/media/A_yJVW9CQAIxokO?format=jpg&name=small,14,7,8
2013-01-04T17:41:27.000Z,image,手元にあまりないですが、小道もこんな感じでステキでした♡,,https://pbs.twimg.com/media/A_yGjEICYAAOPDO?format=jpg&name=small,15,2,2
2013-01-04T17:39:42.000Z,text,ほっちゃんのブログでフランス気分に浸り、自分の写真も見直しています（ノ∀`）笑,,,8,1,3
2013-01-04T17:27:54.000Z,image,ありがとうございました(^-^)/ またお伺いしたいです♬ RT : かすみのお部屋！今日は堀江由衣さんが遊びに来てくれました♪とっても素敵な方でしたよ～！！そして名誉顧問に就任されましたｗ　#anison_r,,https://pbs.twimg.com/media/A_xejABCQAEX6iS?format=jpg&name=small,19,9,1
2013-01-03T05:36:52.000Z,image,"ちなみに、エコーちゃんはお正月もAKIHABARAゲーマーズ本店の衣装展におります(笑)   1/9までやっていますので、是非♬
クマスターはいません(笑)",,https://pbs.twimg.com/media/A_qXHaECMAAKgT0?format=jpg&name=small,16,10,5
2013-01-03T05:32:12.000Z,text,"あけましておめでとうございます！今年もよろしくお願いいたします（ノ∀`）RT : 堀江由衣「ちょっと前の♪」 
現在発売中の声優グランプリ1月号掲載のグラビアですね♪  ほっちゃんもエコーちゃんもかわいい( ´ ▽ ` )♡",,,10,8,1
2013-01-01T07:11:48.000Z,image,"去年も盛りだくさんでしたが、今年も盛り上げていきます(((o(*ﾟ▽ﾟ*)o)))
ほっちゃんチームを是非、ぜひよろしくお願いいたします！お気に入りの写真を再掲載(笑)",,https://pbs.twimg.com/media/A_gZqYyCQAI75yT?format=jpg&name=small,21,18,10
2013-01-01T07:05:05.000Z,text,"皆様、あけましておめでとうございます（ノ∀`）
今年もよろしくお願いいたします♬",,,22,20,21
2012-12-28T18:06:29.000Z,image,"ライヴBD&DVDの宣伝活動に励んでおりますが、、、明日からはついに！コミックマーケットデビュー！(笑)   
是非、すたちゃブース(西地区4階・ブースNo.332)   に遊びに来てください♬",,https://pbs.twimg.com/media/A_OJJcKCEAAuXo9?format=jpg&name=small,20,8,6
2012-12-28T18:01:33.000Z,image,ほっちゃんにメッセージ書いたり、、、,,https://pbs.twimg.com/media/A_OIBNdCMAAi847?format=jpg&name=small,17,4,2
2012-12-28T18:00:30.000Z,image,店員さんのお手伝いをしたり、、、,,https://pbs.twimg.com/media/A_OHyAHCUAAcXra?format=jpg&name=small,17,3,1
2012-12-28T17:59:29.000Z,image,最近のクマスターはHMVさんに訪問したり、、、,,https://pbs.twimg.com/media/A_OHi-ICYAApcQd?format=jpg&name=small,17,3,1
2012-12-28T17:51:05.000Z,image,"さらに、先日、応募抽選特典用にほっちゃんにサインをもらったのですが、その時の写真を一枚！
エコーちゃんはここしかなかったのです(笑)",,https://pbs.twimg.com/media/A_OFn6CCUAIIaV9?format=jpg&name=small,17,3,2
2012-12-28T17:46:26.000Z,image,"写真は改めましてですが、劇場版の半券施策でもらえるポストカードです！個人的にもお気に入り♡
これからアニメイトかゲーマーズでご購入のお客様は、お忘れなく(^-^)",,https://pbs.twimg.com/media/A_OEjshCUAAeWG4?format=jpg&name=small,16,9,3
2012-12-28T17:44:48.000Z,text,ライヴBDの感想たくさん！ありがとうございます(((o(*ﾟ▽ﾟ*)o))),,,8,2,3
2012-12-28T14:40:28.000Z,text,"高校時代の話や、ライブBDについて語ってます♪
あっでも17歳だから、今も・・・",,,18,18,3
