Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2020-12-25T17:37:55.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#952 をYouTubeにてアーカイブ公開しました📻🎅

✅「堀江由衣の天使のたまご」#952（2020.12.25 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/EqGbXIbUcAE_BxO?format=jpg&name=small,171,47,2
2020-12-25T14:00:02.000Z,text,"【📻まもなく放送👼】
文化放送「堀江由衣の天使のたまご」は、この後、深夜25:00～放送です！
ぜひ聴いてくださいね🐱🎀

#堀江由衣 #tentama",,,138,40,3
2020-12-18T16:30:16.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#951 をYouTubeにてアーカイブ公開しました📻👼

✅「堀江由衣の天使のたまご」#951（2020.12.18 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/EpiIwBsU0AIH9QI?format=jpg&name=small,164,48,3
2020-12-18T14:00:00.000Z,text,"【📻まもなく放送👼】
文化放送「堀江由衣の天使のたまご」は、この後、深夜25:00～放送です！
ぜひ聴いてくださいね🐱🎀

#堀江由衣 #tentama",,,126,36,4
2020-12-11T16:37:09.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#950 をYouTubeにてアーカイブ公開しました📻👼

✅「堀江由衣の天使のたまご」#950（2020.12.11 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/Eo-HMpsVEAEuxwS?format=jpg&name=small,187,54,3
2020-12-11T14:00:00.000Z,text,"【📻まもなく放送👼】
文化放送「堀江由衣の天使のたまご」は、この後、深夜25:00～放送です！
今回は記念すべき放送950回となります🎉「堀江由衣ライブツアー2019文学少女倶楽部」のライブ音源からは「For フルーツバスケット」をO.A.✨
ぜひ聴いてくださいね🐱🎀

#堀江由衣 #tentama",,,221,83,5
2020-12-04T17:02:32.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#949 をYouTubeにてアーカイブ公開しました📻👼

✅「堀江由衣の天使のたまご」#949（2020.12.4 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/EoaH9WsVoAAdWab?format=jpg&name=small,187,50,4
2020-11-27T16:32:46.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#948 をYouTubeにてアーカイブ公開しました📻👼

✅「堀江由衣の天使のたまご」#948（2020.11.27 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/En1_708VoAA9QOO?format=jpg&name=small,184,56,2
2020-11-27T14:00:03.000Z,text,"【📻まもなく放送👼】
文化放送「堀江由衣の天使のたまご」は、この後、深夜25:00～放送です！
今回は「堀江由衣ライブツアー2019文学少女倶楽部」のライブ音源から「CHILDISH♡LOVE♡WORLD」をO.A.します✨
ぜひ聴いてくださいね🐱🎀

#堀江由衣 #tentama",,,159,45,2
2020-11-20T16:56:05.000Z,image,"【ラジオアーカイブ更新】
文化放送「堀江由衣の天使のたまご」#947 をYouTubeにてアーカイブ公開しました📻👼

✅「堀江由衣の天使のたまご」#947（2020.11.20 OA）


#堀江由衣 #tentama",,https://pbs.twimg.com/media/EnSCI-uVoAI8Wj1?format=jpg&name=small,176,47,4
2020-11-20T14:00:00.000Z,text,"【📻まもなく放送👼】
文化放送「堀江由衣の天使のたまご」は、この後、深夜25:00～放送です！
今回は「堀江由衣ライブツアー2019文学少女倶楽部」のライブ音源から「silky heart」をO.A.します✨
ぜひ聴いてくださいね🐱🎀

#堀江由衣 #tentama",,,158,44,4
