Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2014-12-30T14:28:47.000Z,text,ゆい：そろそろ決戦かしら？？(｀･ω･´),,,61,27,14
2014-12-30T13:58:57.000Z,text,ゆい：おお！そろそろあの子が…？,,,56,27,11
2014-12-30T13:43:59.000Z,text,ゆい：今どの辺りかしら？PVは初解禁でした♪(*´∇｀*),,,58,24,24
2014-12-30T13:05:12.000Z,text,"スタッフ：ワシスタに続けて次はベストライブへにゃ〜！！ RT : そして、22時からは「堀江由衣ベストライブ～由衣と時間泥棒～」の配信です！
初OA(｀・ω・´)
",,,22,30,4
2014-12-30T12:43:25.000Z,text,"スタッフ：Stand Up!解禁にゃ〜♪ RT : 「ワシスタ」待機なう(｀・ω・´)
よろしくお願い致します！！！
#ワシスタ
",,,21,18,5
2014-12-30T12:07:31.000Z,text,"スタッフ：ワシスタなうですにゃう♪ RT : 「ワシスタ」待機なう(｀・ω・´)
よろしくお願い致します！！！
#ワシスタ
",,,17,11,1
2014-12-30T10:06:08.000Z,text,"ゆい：前に出たいから良かったね♪ RT : イッカイ ウラデアタマハサマッテ
ウゴケナクナッタイガイハ 
ブジニ コミケ シュウリョウー（≧∇≦）

キテクレタミンナ トオリスガリノミンナ
アリガトウ！
キョウハタクサンシャシンヲ
トッテモラエタ。",,,41,24,4
2014-12-30T07:58:30.000Z,text,ゆい：あはは RT : 今、国際展示場駅前のローソンに行けば、ミス・モノクロームさん(ゆるキャラ)の貴重な横姿が見れます！  #モノクローム #C87,,,34,24,2
2014-12-30T07:11:19.000Z,image,"ゆい：らっしゃ〜せ〜（笑） RT : コミケにご来場の皆様！お疲れ様でしたヽ(・∀・)ﾉ 
モノクロームちゃんは最後の頑張り！
いらっしゃせ〜
#C87 #モノクローム",,https://pbs.twimg.com/media/B6FeJSqCQAE3DLi?format=jpg&name=small,65,59,4
2014-12-30T07:04:37.000Z,text,ゆい：頑張れー！これが仕事おさめかな？？σ(^_^;) RT : ミス・モノクロームさん(ゆるキャラ)の国際展示場駅前ローソンでの店頭販売すたーと！(≧∇≦)  #モノクローム #C87,,,33,21,2
2014-12-30T06:33:18.000Z,text,"ゆい：来ましたー！時間泥棒！(｀･ω･´) RT : そして、22時からは「堀江由衣ベストライブ～由衣と時間泥棒～」の配信です！
初OA(｀・ω・´)
",,,37,40,6
2014-12-30T06:32:07.000Z,text,"ゆい：出来たて！（笑） RT : 今日は「ワシスタ」もお見逃しなく！！
「Stand Up!」のPVを初解禁！！
21:00〜です(=ﾟωﾟ)ﾉ
",,,38,24,8
2014-12-30T05:29:07.000Z,text,ゆい：だ、大丈夫…？！σ(^_^;) RT : アタマオオキクテ ハサマッタ。。。,,,42,20,3
2014-12-30T05:28:30.000Z,image,ゆい：…ん？ RT :,,https://pbs.twimg.com/media/B6FGnDfCAAARJcH?format=jpg&name=small,56,37,4
2014-12-30T05:16:05.000Z,text,スタッフ：ラスト回ですにゃ！お近くの方はぜひぜひモノクロームちゃんに会いに行ってみてくださいにゃ♪ RT : 次は16時からとなります！国際展示場駅前のローソンにて！宜しくお願いします！m(__)m #モノクローム #C87,,,18,16,
2014-12-30T02:31:35.000Z,text,"ゆい：こちらこそ♪ RT : よろしくお願いします\\٩( ‘ω’ )و //！ ゆい：わーい♪楽しみ♪(*´∇｀*) RT ということで、1/5(月)は文化放送「リッスン？」に出演致します！小松未可子さんがパーソナリティーです
#listen1134",,,42,24,2
2014-12-30T00:52:03.000Z,text,"ゆい：おお！モノクロームちゃん！がんばってね〜♪ RT : 今日もミス・モノクロームさん(ゆるキャラ)が国際展示場駅前のローソンにて「月刊ミス・モノクローム」を販売します！
13時と16時の2回になっておりますm(__)m #C87 #モノクローム",,,35,26,10
2014-12-29T19:08:56.000Z,text,ゆい：おお！お二人ともがんばって下さい〜♪ RT : 明日はコミケ本番！早朝集合なので、私はもう寝ます。東シ41『それが声優！』の新刊、既刊、総集編あります。私も畑先生も売り子してます。遊びにきてね！ ,,,86,47,8
2014-12-29T19:07:56.000Z,text,"ゆい：わーい♪楽しみ♪(*´∇｀*) RT : ということで、1/5(月)は文化放送「リッスン？」に出演致します！小松未可子さんがパーソナリティーです！ゆ、ゆいこし？(笑)
#listen1134",,,51,32,10
2014-12-29T19:07:16.000Z,text,"ゆい：ん？ノリノリだねσ(^_^;) RT : アシタモ 
ワタシハ キグルミキテ 
ミンナハ ミニキテYO！",,,36,15,5
2014-12-29T11:51:53.000Z,text,"スタッフ：もうすぐ！タイムシフトにゃ〜♪ RT : 本日は第4夜です〜(=ﾟωﾟ)ﾉ
12月29日（月）21:00～
堀江由衣をめぐる冒険Ⅲ～Secret Mission Tour～
",,,19,28,1
2014-12-29T08:22:44.000Z,text,ゆい：おお！返事きた！（笑）嬉しい♪ RT : ほりえさーん♪ “ ゆい：わー♪かんち♪ RT  あいりちゃん＆ほっちゃん？！  1/1(木) 22：50～放送のCBCラジオ「古川愛李の元旦はアイリの特番」 にほっちゃんがコメント出演致します！,,,48,27,15
2014-12-29T08:11:07.000Z,text,ゆい：リスですね（笑） RT : わ～懐かしいっ！！　RT  ゆい：おおー！モノクロームちゃん初登場の回ですね！　 本日は第4夜です〜(=ﾟωﾟ)ﾉ 12月29日（月）21:00～ 堀江由衣をめぐる冒険Ⅲ …,,,32,23,2
2014-12-29T08:08:44.000Z,text,ゆい：わー♪かんち♪ RT : あいりちゃん＆ほっちゃん？！  1/1(木) 22：50～放送のCBCラジオ「古川愛李の元旦はアイリの特番」 にほっちゃんがコメント出演致します！パーソナリティーは古川愛李さん♪”,,,40,25,4
2014-12-29T06:43:38.000Z,text,"スタッフ：こちらにモノクロームちゃんがおりますにゃ〜！ RT : 開催場所は国際展示場駅前のローソンです！
  もうちょっとだけミス・モノクロームさん(ゆるキャラ)はいますよ…！ #モノクローム #C87",,,19,12,1
2014-12-29T06:26:28.000Z,text,スタッフ：貴重なショットにゃ(笑) RT : でも、後ろ姿は撮らせてくれないと思います。。  #モノクローム #C87,,,19,10,2
2014-12-29T06:24:31.000Z,text,スタッフ：ぱしゃりにゃ☆ RT : 今日のコスプレコンパニオンさんとの一枚です！(≧∇≦)  国際展示場駅のローソンにて「月刊ミス・モノクローム」の店頭販売中です☆ #モノクローム #C87,,,19,12,1
2014-12-29T06:23:40.000Z,text,スタッフ：モノクロームちゃんいっぱいにゃ！！ RT : こちらは「月刊ミス・モノクローム」たちですよー！(≧∇≦)(≧∇≦)(≧∇≦)(≧∇≦)  #モノクローム #C87,,,16,11,
2014-12-28T13:45:12.000Z,text,ゆい：飛んだ？！（笑）,,,54,32,26
2014-12-28T13:21:12.000Z,text,"ゆい：今どんなかな？σ(^_^;) RT : 本日のニコ生は武道館ライブです(=ﾟωﾟ)ﾉ
12月28日（日）21:00～
堀江由衣をめぐる冒険Ⅱ～武道館で舞踏会～Q&A
",,,35,24,13
2014-12-28T12:05:54.000Z,image,スタッフ：わわわわ～(〃ω〃) RT : ナカミチラッ,,https://pbs.twimg.com/media/B57eXhiCEAEZpDw?format=jpg&name=small,64,46,2
2014-12-28T11:58:02.000Z,text,"スタッフ：本日も21時からスタートですにゃ！ RT : 本日のニコ生は武道館ライブです(=ﾟωﾟ)ﾉ
12月28日（日）21:00～
堀江由衣をめぐる冒険Ⅱ～武道館で舞踏会～Q&A
",,,20,33,1
2014-12-28T07:03:40.000Z,text,"ゆい：ぜひよろしくお願いします！(｀･ω･´) RT : 月刊ミスモノクロームノカンソウモ
マッテルネ！",,,31,14,5
2014-12-28T07:03:17.000Z,text,ゆい：うんうん♪可愛いね〜♪ RT : トナリニワタシガモウヒトリイタ（≧∇≦）,,,27,13,3
2014-12-28T07:02:50.000Z,image,"ゆい：おー！お疲れ様(*´∇｀*) RT : キグルミニ ハイル オシゴト
シュウリョウ！
ミンナアリガトウ！
アシタハ15ジカラマタハイル。
ハヤシZニシャシン モラッタ。",,https://pbs.twimg.com/media/B56ybvcCEAAZJl8?format=jpg&name=small,48,39,7
