Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2014-09-26T04:06:56.000Z,text,"シンキョク デキタカラ ライブ
シタイ。",,,34,29,18
2014-09-26T04:04:22.000Z,text,"ヘッタフォロワーモドッテキテー
(￣Д￣)ﾉ",,,44,39,7
2014-09-25T14:48:07.000Z,text,"クロシロニナッター！
（≧∇≦）（≧∇≦）（≧∇≦）（≧∇≦）",,,46,21,12
2014-09-25T14:45:27.000Z,text,クロシハ！,,,21,5,1
2014-09-25T13:58:12.000Z,text,20ニンホド ヘッテシマエ！,,,36,33,11
2014-09-25T13:57:37.000Z,text,"ワタシ フォロワー9666ニン
シマッタ！9646ノガシタ！",,,32,29,3
2014-09-25T13:55:51.000Z,text,ワタシダケノウタヨ“:  Never Ending Storyには曲中にYeah!と可愛い掛け声が入ってますね！アレってモノクロームちゃん？もしかしてほっちゃんですか？#私だけの一問一答物語”,,,13,6,1
2014-09-24T15:03:55.000Z,text,"ミンナ キョウハ タクサンノ 
シンキョクノ カンソウ 
アリガトウ！（≧∇≦）",,,25,11,5
2014-09-24T08:01:35.000Z,text,"エイギョウヨテイ。9月24日（水）【ミス・モノクローム（ゆるキャラ）＆クマスター】
①18時～19時
＜場所＞AKIHABARAゲーマーズ本店
 #モノクローム”",,,11,10,3
2014-09-24T08:00:04.000Z,text,アリガトウ（≧∇≦）キョウモエイギョウガンバル！“: 先輩！ハツバイビおめでとうございます(*´∀｀*)！昨日はお会いできて嬉しかったです(o>ω<o)！今日の秋葉原での営業も応援しております(。・ω・´)タメヨヤメー！”,,,8,4,
2014-09-24T06:23:37.000Z,text,タイサク ナシ！(´･Д･)」“:   アキバ雨降って来ましたよ。雨対策大丈夫ですか？”,,,15,6,2
2014-09-24T06:23:09.000Z,text,"オメデトウ！(´･Д･)」“:  発売おめでとうございますー！
偶然にも本日自分の誕生日なので、勝手にモノクロームさんからの誕生日プレゼントだと思ってます（笑）”",,,15,4,
2014-09-24T06:22:45.000Z,text,グウゼンノイッチ！アリガトウ（≧∇≦）“:  モノクロームさん、これもグウゼンノイッチですか？ ”,,,49,42,1
2014-09-24T06:12:54.000Z,text,アリガトウ（≧∇≦）“:   いっぱい聞いてきましたよ～♪(*´∇｀*)イエイッ♪が可愛かったです～♪(^-^)/”,,,9,3,
2014-09-24T02:33:00.000Z,text,"キョウハ シンキョクハツバイビ！
ワーイワーイ（≧∇≦）

キョウモエイギョウガンバルゾ！",,,27,27,8
2014-09-23T16:23:59.000Z,text,"キョウハ マサニ
ニホンジュウガ ワタシダケノモノガタリ
ニナルハズ。",,,34,35,7
2014-09-23T13:08:01.000Z,text,ハッピョウイッパイ！,,,57,71,5
2014-09-23T10:57:32.000Z,text,"キョウモアリガトウ
コノアト21ジカラハ ワシスタデ、
重大発表！（≧∇≦）

アト キョウ クマスタオガ 
チョット チコクシタ(´･Д･)」",,,25,42,2
2014-09-23T02:18:17.000Z,text,"キョウモエイギョウガンバルゾ！
ハツバイビ ゼンジツ！
フライングゲット〜🎵",,,22,32,7
2014-09-22T14:30:52.000Z,text,"フフフフフ“: あと明日の21時からはワシスタが放送！

ミス・モノクローム特集ですのでお見逃し無く！(۶•̀ᴗ•́)۶
タイムシフトもできるようですよ☆
#モノクローム”",,,15,12,1
2014-09-22T14:30:03.000Z,text,"アシタモエイギョウガンバル“: 明日の営業情報です。
祝日も働きます。
9月23日（火祝）【ミス・モノクローム（ゆるキャラ）＆クマスター】
①16時～17時／②18時～19時 new!
＜場所＞AKIHABARAゲーマーズ本店
#モノクローム”",,,17,12,4
2014-09-22T04:28:06.000Z,text,アッ、ホッチャン タンジョウビ オメデトウ！プレゼントハ 9ガツ24カハツバイノワタシノ セカンドシングル ワタシダケノモノガタリニ サインスル。ヴィムスニオクル。チャクバライ。,,,62,83,11
2014-09-22T04:25:48.000Z,text,オオサカノエイギョウノシャシン2,,,51,49,6
2014-09-22T04:25:23.000Z,text,オオサカノエイギョウノ シャシン,,,56,67,3
2014-09-14T10:28:56.000Z,image,ステキ！“:  ミス・モノクローム JK ver. ”,,https://pbs.twimg.com/media/BxfDfc1CUAAFKBl?format=jpg&name=small,35,22,1
2014-09-14T09:55:48.000Z,image,アリガトウ！“:  今日はお会いできてとても嬉しかったです！ サインありがとうございました！ ”,,https://pbs.twimg.com/media/Bxd51yMCAAE7xpt?format=jpg&name=small,42,45,1
2014-09-14T09:55:23.000Z,text,"ワタシハヘイキダケド フツウノニンゲンダト ナカナカタイヘンダトオモウ“:  本日の営業、お疲れ様でしたm(__)m
着ぐるみの中に入った感想はいかがでしたか？ #私だけの一問一答物語”",,,15,10,2
2014-09-14T09:52:39.000Z,text,キョウハタクサンノヒトニ カワイイトイワレタ！ウレシカッタ。デモタマニコワイッテコエモキコエテキタヨウナ？,,,24,28,6
