Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2016-12-30T04:12:03.000Z,image,"【12/30(金)～1/1(日)迄・新米マネージャー応援中♪】
ランク1～30の新米マネージャーの皆さんに朗報です!!
アイドルランク経験値が2倍獲得できる特別オーディションを開催中♪
詳細→
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C05YGuTWgAEm0C5?format=png&name=small,28,10,2
2016-12-28T09:40:57.000Z,image,"☆★☆1月のログインボーナス★☆★
25日間ログインでGETできる！！
来月のログインボーナスはこの季節にピッタリな「巫女さんコソデ」です。
ガチャでGETできるアクセサリーやトップスとあわせて、トータルコーデを楽しもう♪
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C0wQM7HUUAABlrR?format=jpg&name=small,18,7,3
2016-12-27T10:38:57.000Z,image,"【～1/2(月)迄・対象衣装ガチャ出現確率2倍アップ中★】
新規追加の『サタン』と人気の★2★3から3着の衣装が出現率アップ中↑↑
年末年始にふさわしい、ゴージャスな衣装を揃えるなら今がチャンス！！
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C0rT4ypXcAAWJxe?format=png&name=small,16,8,2
2016-12-27T10:36:57.000Z,image,"【新衣装『サタン』登場！！】
ダークテイストでちょっぴりセクシー！
アニマルスカルと大きな翼が存在感バツグンの『サタン』がガチャに登場です！
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C0rTbcYWQAA4NHn?format=png&name=small,17,7,3
2016-12-27T04:10:15.000Z,text,"【定期メンテナンス完了のお知らせ】
本日10:00より実施しておりました定期メンテナンスが完了いたしました。
引き続き「ミス・モノクローム Go!Go!スーパーアイドル」をお楽しみください。
#gogoスーパーアイドル",,,9,2,2
2016-12-27T01:10:00.000Z,text,"【定期メンテナンス開始のお知らせ】
本日10:00より定期メンテナンスを実施しております。
終了時刻は現在未定となっております。
メンテナンス完了まで今しばらくお待ちください。
#gogoスーパーアイドル",,,6,3,2
2016-12-26T09:40:05.000Z,text,"【定期メンテナンスのお知らせ】
12/27(火)10:00より定期メンテナンスを実施いたします。
メンテナンス作業中はゲームをご利用いただくことができません。
詳しくは公式HPをご覧ください。

#gogoスーパーアイドル",,,10,3,1
2016-12-25T15:25:35.000Z,text,お越し頂いた皆様有難うございましたm(__)m博多も楽しみにしております╰(*´︶`*)╯♡ ,,,14,9,3
2016-12-25T12:00:27.000Z,text,"【12/27(火)～1/2(月)迄・イベント予告】
次回定期メンテナンス終了後から、複数イベントの開催を予定！
新衣装も追加予定です♪
年末年始もモノクロームさんと目指せ！スーパーアイドル☆★
詳細： ほか
#gogoスーパーアイドル",,,12,4,3
2016-12-25T05:19:09.000Z,image,"メリークリスマス🎁
本日ラフォーレ原宿最終日となっております！お越し頂きありがとうございます！素敵なメッセージカードandクリスマスプレゼントを頂きました🎄",,"https://pbs.twimg.com/media/C0f3foGUkAA8T99?format=jpg&name=360x360,https://pbs.twimg.com/media/C0f3foHVIAE7bkT?format=jpg&name=360x360",25,13,1
2016-12-25T05:18:44.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿 最終日！！
iPhoneケース、可愛いしシンプルで使いやすい(^^)",,https://pbs.twimg.com/media/C0f3aOxUkAARsoc?format=jpg&name=small,41,12,2
2016-12-25T05:03:00.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿が最終日‼︎ミス・モノクローム（ゆるキャラ）とDJ-Zが遊びにきてくれました〜(^^)
ご来店、お待ちしております〜！！",,https://pbs.twimg.com/media/C0fzzo3UUAApWFD?format=jpg&name=small,22,7,3
2016-12-24T22:42:13.000Z,image,本日12月25日（日）はHMM×ミス・モノクロームセレクトショップinラフォーレ原宿が最終日‼︎ミス・モノクローム（ゆるキャラ）とDJ-Zも14時00分から16時00分まで遊びに行きますのでこの機会に是非お越し下さいm(__)m,,https://pbs.twimg.com/media/C0ecqD2UsAEuIWm?format=jpg&name=small,60,23,4
2016-12-24T11:43:02.000Z,image,"【～12/25まで♪限定衣装をGETしよう!!】
聖なる夜は黒いサンタで悪い子におしおき！？
限定衣装「セイントサンタ(黒)」はもうGETしましたか？
クリスマスダンジョン全クリアでフルコーディネート可能です◎ 
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C0cFyVsUkAAFPvu?format=png&name=small,47,12,4
2016-12-22T11:43:04.000Z,image,"【～12/25まで♪期間限定ダンジョン開放中!!】
クリスマスダンジョンがプレイできるのは今だけ!!
超絶難易度のダンジョンをクリアして限定衣装「セイントサンタ(黒)」をGETしよう♪ 
#gogoスーパーアイドル",,https://pbs.twimg.com/media/C0RynSKVQAAVGC2?format=png&name=small,17,3,2
2016-12-22T06:47:23.000Z,image,"皆様是非(*≧∀≦*)【公演情報】1/20（金）～22（日）
「宇宙からの来訪者」
待望のミス・モノクロームさんコラボの60分謎解き公演が決定！
12月20日12時に予約開始です！
詳細はコチラ
http://eventcafe-switch.jp/event_description.html?event_id=159… …",,https://pbs.twimg.com/media/CzsII2PUcAEAU8s?format=jpg&name=small,17,5,3
2016-12-22T04:38:08.000Z,image,"ミス・モノクロームの謎解き公演開催決定致しました(*ﾟ▽ﾟ)ﾉ
詳しくはこちらをご覧下さいm(__)m
",,https://pbs.twimg.com/media/C0QRV89UAAAkXZK?format=jpg&name=small,54,24,4
2016-12-22T04:35:01.000Z,image,"ミス・モノクロームのクリスマス衣装がしゃべってキャラに登場(*≧∀≦*)是非この機会にダウンロード下さいm(__)m
",,"https://pbs.twimg.com/media/C0QQo3WUUAAQ_M0?format=jpg&name=240x240,https://pbs.twimg.com/media/C0QQo4BUUAA4bKB?format=jpg&name=240x240",47,23,2
2016-12-18T06:13:35.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！
充電完了しました〜！
16時頃までやってるので、是非お越し下さい〜(^^)",,https://pbs.twimg.com/media/Cz8A1caUAAAE5qk?format=jpg&name=small,42,18,2
2016-12-18T05:45:05.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！！
ちょっと充電してきます〜",,https://pbs.twimg.com/media/Cz76TzaUsAE9isA?format=jpg&name=small,50,28,2
2016-12-18T05:30:10.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！
マグカップ可愛い！！ほ、欲しい・・(^^)",,https://pbs.twimg.com/media/Cz725iTUQAAxy-I?format=jpg&name=small,42,22,1
2016-12-18T05:25:06.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！
ダンボーも盛り上げに来てくれてます！！か、可愛い・・(^^)",,https://pbs.twimg.com/media/Cz71vS_UUAEEf4k?format=jpg&name=small,29,13,1
2016-12-18T05:23:18.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！！
本日DJ-Zが着ているこちらの新たなデザインのＴシャツ！！抽選会の賞品ですよ〜(^^)",,https://pbs.twimg.com/media/Cz71UtEVEAAI6Xk?format=jpg&name=small,20,7,1
2016-12-18T05:19:04.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！！
ミュージックビデオ〜表参道イルミネーションでWhite Xmas踊ってみた〜も公開中！！是非お越し下さいー！(^^)",,https://pbs.twimg.com/media/Cz70WwCUQAEulc8?format=jpg&name=small,46,21,1
2016-12-18T05:05:19.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿！！
ミス・モノクローム（ゆるキャラ）とDJ-Z遊びに来ましたー！！",,https://pbs.twimg.com/media/Cz7xNc8UkAAxDge?format=jpg&name=small,32,14,3
2016-12-18T02:04:46.000Z,image,"HMM×ミス・モノクロームセレクトショップinラフォーレ原宿始まりました╰(*´︶`*)╯♡
本日は14時00分よりミス・モノクローム（ゆるキャラ）とDJ-Zも遊びに行きますm(__)m",,"https://pbs.twimg.com/media/Cz7H4lgUsAADywk?format=jpg&name=small,https://pbs.twimg.com/media/Cz7H4lZVEAEgJW_?format=jpg&name=360x360",64,37,4
2016-12-17T09:55:02.000Z,image,"【～12/25まで♪期間限定ダンジョン開放中!!】
クリスマスダンジョンがプレイできるのは今だけ!!
超絶難易度のダンジョンをクリアして限定衣装「セイントサンタ(黒)」をGETしよう♪ 
#gogoスーパーアイドル",,https://pbs.twimg.com/media/Cz3p7_XXgAEbtdw?format=png&name=small,15,4,3
2016-12-17T02:07:38.000Z,image,"明日12月18日（日）からHMM×ミス・モノクロームセレクトショップinラフォーレ原宿が開催(*ﾟ▽ﾟ)ﾉ
明日はミス・モノクローム（ゆるキャラ）とDJ-Zも遊びに行きますのでこの機会に是非お越し下さいm(__)m
",,https://pbs.twimg.com/media/Cz1-9PRUQAALiJ5?format=jpg&name=small,65,40,5
2016-12-13T10:08:41.000Z,image,"2016年12月22日（木）よりHMM×ミス・モノクロームセレクトショップinアミュプラザ博多でも開催が決定致しました٩( 'ω' )و
更にミス・モノクローム（着ぐるみ）が2017年1月7日（土）に皆様をお出迎え(๑>◡<๑)
",,https://pbs.twimg.com/media/CzjGssFVEAA2MeK?format=jpg&name=small,86,46,3
2016-12-13T09:11:00.000Z,text,"【速報/Go!Go!スーパーアイドルへの道！！】
マネージャーの皆様に現在の特訓値総獲得状況をお知らせいたします。
★＋4,696,000ポイント達成まであと【752,185 pt】
☆イベント終了まであと【6日】
#gogoスーパーアイドル",,,13,4,2
2016-12-12T10:48:40.000Z,image,"【～12/25まで♪限定衣装をGETしよう!!】
聖なる夜は黒いサンタで悪い子におしおき！？
限定衣装「セイントサンタ(黒)」はもうGETしましたか？
クリスマスダンジョン全クリアでフルコーディネート可能です◎ 
#gogoスーパーアイドル",,https://pbs.twimg.com/media/CzeGQ6KUkAAeG4D?format=png&name=small,50,18,2
2016-12-12T09:18:00.000Z,text,"【速報/Go!Go!スーパーアイドルへの道！！】
マネージャーの皆様に現在の特訓値総獲得状況をお知らせいたします。
★＋4,696,000ポイント達成まであと【2,844,849 pt】
☆イベント終了まであと【7日】
#gogoスーパーアイドル",,,14,3,3
2016-12-12T09:15:06.000Z,text,"【速報/Go!Go!スーパーアイドルへの道！！】
マネージャーの皆様に特訓値総獲得ポイント数が【14,696,000ポイント】を超えたことをお知らせいたします！おめでとうございます！！
以降＋4,696,000ポイント毎に追加報酬が発生となります♪
#gogoスーパーアイドル",,,43,12,2
2016-12-12T06:00:07.000Z,text,"【定期メンテナンスのお知らせ】
12/14(水)10:00より定期メンテナンスを実施いたします。
メンテナンス作業中はゲームをご利用いただくことができません。
詳しくは公式HPをご覧ください。
#gogoスーパーアイドル",,,10,4,2
2016-12-11T11:03:59.000Z,image,"【～12/25まで♪期間限定ダンジョン開放中!!】
クリスマスダンジョンがプレイできるのは今だけ!!
超絶難易度のダンジョンをクリアして限定衣装「セイントサンタ(黒)」をGETしよう♪ 
#gogoスーパーアイドル",,https://pbs.twimg.com/media/CzZALcxXgAAM74f?format=png&name=small,19,9,3
2016-12-10T10:02:10.000Z,image,"【新イベント開催中♪/Go!Go!スーパーアイドルへの道！！】
全マネージャー協力型イベントがついに始動！！
特訓値ポイント総獲得数『14,696,000ポイント』を達成して、豪華報酬を手に入れろ！
詳細→
#gogoスーパーアイドル",,https://pbs.twimg.com/media/CzTocY0XUAEeT6f?format=png&name=small,18,6,3
