Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2023-03-26T08:10:26.000Z,image,"AnimeJapan 2023 2日目終了致しました！お越し頂いた皆様有難うございましたm(__)m
#AnimeJapan2023
#KAC
#ミス・モノクローム",,https://pbs.twimg.com/media/FsIavGEacAAoSci?format=jpg&name=small,215,56,4
2023-03-26T03:46:23.000Z,image,"AnimeJapan 2023 2日目もKING AMUSEMENT CREATIVEブースに登場致しました(*'▽'*)
会場にお越しの方は是非KING AMUSEMENT CREATIVEブースにもお立ち寄り下さいm(__)m
#AnimeJapan2023
#KAC
#ミス・モノクローム",,https://pbs.twimg.com/media/FsHeTM0agAASxTx?format=jpg&name=small,108,25,1
2023-03-25T08:24:37.000Z,image,"AnimeJapan 2023 1日目お越し頂いた皆様有難うございましたm(._.)m
明日も会場にお越しの方は是非KING AMUSEMENT CREATIVEブースにお越し下さい！
KING AMUSEMENT CREATIVEの詳細はこちらm(__)m

#AnimeJapan2023
#KAC
#ミス・モノクローム",,https://pbs.twimg.com/media/FsDUZA6aEAAFEE0?format=jpg&name=small,99,32,1
2023-03-25T04:34:07.000Z,image,"Anime Japan 2023のKING AMUSEMENT CREATIVEブース内にて再び登場！
#AnimeJapan2023
#KAC
#ミス・モノクローム",,https://pbs.twimg.com/media/FsCfoWjaYAAYnqI?format=jpg&name=small,126,30,1
2023-03-25T00:12:59.000Z,image,"Anime Japan 2023のKING AMUSEMENT CREATIVEブース内で行われている着ぐるみグリーティングにてミス・モノクロームも出演(*^o^*)
会場にお越しの際は是非KING AMUSEMENT CREATIVEブースにお越し下さい！
詳しくはこちらm(__)m

#AnimeJapan2023
#KAC
#ミス・モノクローム",,"https://pbs.twimg.com/media/FsBj3VMagAAIhoy?format=jpg&name=360x360,https://pbs.twimg.com/media/FsBj3VRaUAECL0z?format=jpg&name=small",298,131,2
2020-05-17T02:15:40.000Z,text,"運動不足の方は先ずはこちらのミス・モノクローム体操をm(__)m

#ミス・モノクローム　#stayhome",,,108,51,5
2020-05-15T09:37:08.000Z,image,"＼銀山温泉×ミス・モノクローム コラボトラック運行中🚚／
銀山温泉×ミス・モノクローム コラボトラックが関東圏や路線のパーキングを運行中✨銀山温泉をバックにミス・モノクロームがたたずむ様子がデザインされております！
トラックを見かけたら是非応援してくださいね♪
#ミス・モノクローム",,https://pbs.twimg.com/media/EYDJMXDU8AA40QO?format=jpg&name=small,301,161,5
2020-05-08T10:59:05.000Z,text,"本日の文化放送「堀江由衣の天使のたまご」は深夜26時00分から放送です(*ﾟ∀ﾟ*)本日はミス・モノクローム楽曲特集ですので是非お聞き下さい♪
#ミス・モノクローム #tentama",,,184,60,5
2019-11-03T07:28:12.000Z,text,"本日はほっちゃんが台湾で開催されておりますPetit Fancy 31に参加させて頂きました♪( ´▽｀)トークショー内で紹介させて頂きましたSHOWMAKERはこちらをご覧下さいm(__)m
皆様是非！
#ミス・モノクローム　#堀江由衣",,,190,59,4
2019-09-23T08:50:56.000Z,image,"DIVE XR FESTIVALにてポーカーフェイスとキミとボクの2曲歌いました(*ﾟ▽ﾟ*)会場にお越しの皆様有難うございましたm(__)m
#ミス・モノクローム #divexrfes",,"https://pbs.twimg.com/media/EFIw_FiUYAE_rWv?format=jpg&name=small,https://pbs.twimg.com/media/EFIw_F7VAAAzV3i?format=jpg&name=small",118,41,6
2019-09-23T03:19:54.000Z,image,"本日はDIVE XR FESTIVALに出演させて頂きます٩( 'ω' )و
#ミス・モノクローム #divexrfes",,https://pbs.twimg.com/media/EFHlPbBU4AU4TU0?format=jpg&name=small,177,52,3
2019-08-04T07:14:55.000Z,image,"第10回全日本スイカ割り選手権大会終了致しました！
ボーリングにも参加(・ω・)ノ
お越し頂いた皆様有難うございましたm(__)m
#尾花沢 #ミス・モノクローム",,https://pbs.twimg.com/media/EBG7iZXUcAAs8VP?format=jpg&name=small,278,68,10
2019-08-04T02:16:01.000Z,image,"試割りをさせて頂きました♪( ´θ｀)ノ
#尾花沢 #ミス・モノクローム #スイカ割り選手権",,https://pbs.twimg.com/media/EBF3H6NVUAA1gdj?format=jpg&name=small,303,124,12
2019-08-03T12:52:05.000Z,text,いよいよ明日は第10回全日本スイカ割り選手権大会(^з^)-☆ワルゼー！チョウワルゼー！,,,117,23,4
2019-07-05T08:48:30.000Z,text,"幕張メッセにて開催の「DIVE XR FESTIVAL supported by SoftBank」の9月23日（月／祝）公演にミス・モノクロームの出演が決定致しました٩( ᐛ )و
詳しくはこちらをご覧下さいm(__)m
",,,95,56,6
2019-06-29T01:56:02.000Z,text,"ミス・モノクロームが8月4日（日）に山形県尾花沢市で行われる第10回全日本スイカ割り選手権大会に今年も参加することが決定致しました♪( ´θ｀)ノ
詳しくはこちらをご覧下さいm(__)m",,,96,57,6
2018-12-25T09:01:07.000Z,text,"『KING SUPER LIVE 2018』Blu-rayの発売が決定致しました！
発売日：2019年3月13日
品番：KIXM-357～358
価格：￥9,200＋税
収録内容：KING SUPER LIVE 2018（東京ドーム）
映像特典もたっぷり収録です！

詳しくはこちら「KING SUPER LIVE」ホームページ：",,,49,24,2
2018-12-08T22:29:38.000Z,text,"ミス・モノクロームも出演(๑>◡<๑)「KING SUPER LIVE 2018」東京ドーム公演がいよいよ今週放送です！

12/9 (日) 夜9時〜 WOWOWライブ
https://wowow.co.jp/ksl2018/

お楽しみに〜！",,,49,11,2
2018-11-10T12:02:03.000Z,text,"WOWOW「KING SUPER LIVE 2018」東京ドーム公演の放送詳細が決定致しました！
WOWOW「KING SUPER LIVE 2018」
放送日時は12月9日（日）21時00分からとなりますので皆様是非ご覧下さい(*ﾟ▽ﾟ*)
詳しくはこちらm(__)m
",,,42,18,4
2018-10-19T14:10:45.000Z,image,"明日は韓国で開催されているBUCHEON INTERNATIONAL ANIMATION FESTIVAL 2018にてミス・モノクローム-The Animation-の上映が行われます(´∀｀*)
#ミス・モノクローム",,https://pbs.twimg.com/media/Dp4HPrkVsAAs0jP?format=jpg&name=small,143,56,3
2018-07-05T23:22:03.000Z,text,"ミス・モノクロームも公式モデルとして登場するSHOWMAKERがAnime Expo 2018参加を記念してセールが開催中٩( ᐛ )و
今なら50%OFFとなっておりますので是非この機会に手に入れて素敵なSHOWをご一緒にm(__)m

#SHOWMAKER_JP #steam #AX2018",,,39,14,3
2018-06-29T09:58:51.000Z,image,"「KING SUPER LIVE 2018」に出演することが決定致しました٩( 'ω' )و
日程と会場は2018年9月24日（月／休）東京ドーム！
チケット情報など詳しくはこちらm(__)m
「KING SUPER LIVE 2018」ホームページ

#キンスパ #ミスモノクローム",,https://pbs.twimg.com/media/Dg2bh67VAAABUoD?format=jpg&name=small,68,46,2
2018-06-25T09:46:26.000Z,image,"昨年に続きミス・モノクロームがアメリカロサンゼルスで行われるAnime Expo 2018に出演致します٩( ᐛ )و
ほっちゃんも昨年に続き参加致します(*´꒳`*)
詳しくはこちらをご覧下さいm(__)m

#AX2018",,"https://pbs.twimg.com/media/DghyVGOVMAAaT2i?format=jpg&name=360x360,https://pbs.twimg.com/media/DghyVGPUYAAA0w4?format=jpg&name=small",223,129,8
2018-05-24T02:37:35.000Z,text,"突然ですが「GFRIEND×MixChannel」ダンスコンテストに挑戦♪( ´θ｀)ノ
今日から私たちは(Me Gustas Tu) -JP ver.-を踊りました！
#GFRIEND #ミス・モノクローム",,,113,47,3
2018-04-20T10:30:36.000Z,image,"ミス・モノクロームの「ボディーガード」黒盤の衣装がしゃべってキャラに登場(*^ω^*)
しゃべってキャラではミス・モノクロームがユーザーの音声を認識して天気やニュースを調べてくれたり「何してるの？」といった日常会話に音声で返答してくれたりします(*´∇｀*)
",,https://pbs.twimg.com/media/DbODgrEVAAAeXXa?format=jpg&name=small,123,44,4
2018-03-28T01:31:46.000Z,image,"ラフォーレ原宿B1F Hybrid Mind Marketで開催中の限定商品販売は本日迄となっております(*´꒳`*)
皆様是非お越し下さいm(__)m
",,https://pbs.twimg.com/media/DZVrnPoUQAAKfWc?format=jpg&name=small,124,34,2
2018-03-21T03:06:56.000Z,image,"ミス・モノクローム3rd LIVE～ボディーガードしちゃうぞ♡〜supported by SHOWMAKER！
ラフォーレ原宿地下1階HMMにてCD、DVDも販売しております！！今回はB2告知ポスターが付きます！更に抽選会にも参加できるダブル特典！！是非！お願いします(＞人＜;)",,"https://pbs.twimg.com/media/DYx-QsqVMAEwcfK?format=jpg&name=360x360,https://pbs.twimg.com/media/DYx-QswU8AAbNLR?format=jpg&name=small",69,34,3
2018-03-21T00:27:19.000Z,image,"本日はミス・モノクローム3rd LIVE～ボディーガードしちゃうぞ♡〜supported by SHOWMAKER開催(๑˃̵ᴗ˂̵)本日会場内での事前物販は無く、ライブグッズは全てラフォーレ原宿地下1階HMMにて販売しております！当日券も発売致します٩( ᐛ )و
",,https://pbs.twimg.com/media/DYxZvDjVAAA1lj-?format=jpg&name=small,50,17,2
2018-03-20T11:37:16.000Z,text,"明日ミス・モノクローム3rd LIVE～ボディーガードしちゃうぞ♡～　supported by SHOWMAKER ライブ限定抽選会実施決定！
さらに当日ミス・モノクリーム関連のCD、Blu-ray、DVDをご購入して頂いた方に、「ボディーガード」B2告知ポスターを先着プレゼント！詳しくは公式HPにて！",,,74,24,7
2018-03-20T10:33:02.000Z,text,"【3月末日応募〆：App御礼について④】
《応募〆切は3月31日(土)》とさせて頂きます。
配布方法やDL手順等詳細につきましては下記URLをご確認下さい。

皆様のご応募を心よりお待ちしております♪ (終)
#gogoスーパーアイドル",,,55,13,2
2018-03-20T10:32:01.000Z,text,"【3月末日応募〆：App御礼について③】
ご希望のマネージャーさんは下記お問い合わせページより必須項目を記入の上、
保管頂いている「お知らせ(ユーザーID記載有)のスクリーンショット」を添付してご応募下さい。
※ユーザーIDを記載頂く形でも◎(続)

#gogoスーパーアイドル",,,45,12,3
2018-03-20T10:31:01.000Z,image,"【3月末日応募〆：App御礼について②】
限定版ルーちゃんは、ミス・モノクロームのサイン付！
キラキラ効果でステージをより華やかに盛り上げてくれます♪(続)
#gogoスーパーアイドル",,"https://pbs.twimg.com/media/DYuaUtpWkAAGmYH?format=jpg&name=small,https://pbs.twimg.com/media/DYuaUtYX0AAVpWK?format=jpg&name=small",62,24,2
2018-03-20T10:30:30.000Z,text,"【3月末日応募〆：ミス・モノクローム Go!Go!スーパーアイドル(以下App)
 御礼について①】
大変長らくお待たせしました。
『ミス・モノクローム Go!Go!スーパーアイドル』のマネージャーの皆様へ御礼として、『SHOWMAKER』で使える！限定版ルーちゃんをご用意致しました。(続)
#gogoスーパーアイドル",,,60,14,3
2018-02-15T06:11:02.000Z,text,"【SHOWMAKER②】
※早期アクセス版はその名の通り、完成版ではありません。こちら予めご了承の上お楽しみくださいませ。(続)",,,52,19,3
2018-02-15T06:10:02.000Z,image,"【SHOWMAKER①】
大変長らくお待たせいたしました！早期アクセスの配信が本日スタートいたしました。
DLは下記から！
　(続)",,https://pbs.twimg.com/media/DWDiH84WkAEbu98?format=jpg&name=small,84,42,3
2018-02-11T06:31:37.000Z,image,"2018年3月21日（水／祝）開催ミス・モノクローム単独公演のホームページ第二次先行受付はこちらからお申込み頂けますm(__)m
",,https://pbs.twimg.com/media/DVvAszuVMAAIRP3?format=jpg&name=small,76,38,4
2018-02-10T04:44:46.000Z,image,"2018年3月21日（水／祝）開催ミス・モノクローム単独公演のホームページ第二次先行受付が決定致しました♪( ´θ｀)ノお申込み頂いていない方は是非この機会にご応募下さいm(__)m
",,https://pbs.twimg.com/media/DVpep2LU8AArAhF?format=jpg&name=small,47,22,4
2018-02-09T15:00:06.000Z,text,"【お詫び】
SHOWMAKERの早期アクセス版について、本日時点で皆様に配信ができない状況となっております。
誠に恐れ入りますが、早期アクセス版配信まで今しばらくお待ちくださいませ",,,22,5,3
2018-01-31T09:52:09.000Z,text,"【SHOWMAKER 早期アクセス配信について】
2018年1月予定の早期アクセス版配信ですが、本日今時点でSteamを運営するValve社の承認待ちの状況となっております。
お待たせしてしまい本当に申し訳ありません。今しばらくお待ちいただけますよう、よろしくお願い申し上げます。",,,32,13,3
2018-01-26T00:51:03.000Z,image,"カードショップで魔法少女ザ・デュエルの公認大会に参加してミス・モノクロームのカードを是非手に入れて下さいー╰(*´︶`*)╯♡#まほエル です！
2月の公認大会を公開致しました。
今月のカードは3/21には単独公演が決定したミス・モノクローム(@miss_monochro  )ちゃんが魔法少女になって登場！！
ミス・モノクロームちゃんと原案者堀江由衣さんのサイン付き超豪華カード！！！✨
絶対ゲット！
http://ow.ly/qtTe30hWz85",,https://pbs.twimg.com/media/DUOH-mcWkAAj3fk?format=png&name=small,80,29,2
2018-01-08T03:57:07.000Z,image,"本日23時00分迄となっておりますのでご希望はお忘れ無くm(__)m明けましておめでとう御座います╰(*´︶`*)╯♡ 2018年3月21日（水／祝）開催ミス・モノクローム単独公演のホームページ先行受付は1月8日（月）迄となっておりますので是非ご応募下さいm(__)m
詳しくはこちらをご覧下さいm(__)m
http://king-cr.jp/artist/miss_monochrome/sp/information/…",,https://pbs.twimg.com/media/DSvYnyyV4AESk6j?format=jpg&name=small,91,30,3
2018-01-05T01:29:02.000Z,image,"明けましておめでとう御座います╰(*´︶`*)╯♡ 2018年3月21日（水／祝）開催ミス・モノクローム単独公演のホームページ先行受付は1月8日（月）迄となっておりますので是非ご応募下さいm(__)m
詳しくはこちらをご覧下さいm(__)m
",,https://pbs.twimg.com/media/DSvYnyyV4AESk6j?format=jpg&name=small,155,75,5
2017-12-27T08:16:00.000Z,text,"【SHOWMAKERリリース延期のお知らせ③】
また、『ミス・モノクローム Go!Go!スーパーアイドル』のマネージャーの皆様への御礼は、現在3月下旬頃を予定しております。
お待たせして申し訳ありません。
随時当Twitterにてお知らせしますので、ご確認よろしくお願い致します。(終)
#gogoスーパーアイドル",,,48,16,2
2017-12-27T08:13:00.000Z,text,"【SHOWMAKERリリース延期のお知らせ②】
※早期アクセスとは？※
他のプラットフォームで実施されているオープンβ配信と同様、開発途中のツールを公開することを指しています。(続)",,,49,16,1
2017-12-27T08:10:00.000Z,text,"【SHOWMAKERリリース延期のお知らせ①】
2017年内のリリースを掲げておりました当ツールにつきまして、リリースの延期が正式に決定いたしました。
現在1月中の早期アクセス(※)配信を目指して開発を進めております。
誠に恐れ入りますが、今しばらくお時間をくださいますようお願い申し上げます。(続)",,,54,18,2
2017-12-18T10:35:43.000Z,image,"2018年3月21日（水／祝）開催ミス・モノクローム単独公演のホームページ先行受付中です╰(*´︶`*)╯♡
詳しくはこちらをご覧下さいm(__)m
",,https://pbs.twimg.com/media/DRUpH0qUMAAD4DF?format=jpg&name=small,66,31,3
2017-10-29T02:52:03.000Z,image,"“伊豆こけし工房”さんにも遊びに行きましたヾ(๑╹◡╹)ﾉ銀山温泉お越しの際は是非m(__)m""",,"https://pbs.twimg.com/media/DNRfgS6U8AA21Xz?format=jpg&name=360x360,https://pbs.twimg.com/media/DNRfgS8UQAA8-tI?format=jpg&name=360x360",44,17,2
2017-10-29T02:47:36.000Z,image,“明友庵”さんでは揚げまんじゅうを是非食べてみて下さい(๑･̑◡･̑๑),,https://pbs.twimg.com/media/DNRefS1VAAUNAo9?format=jpg&name=small,44,18,2
