"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2014-12-30T09:06:29.000Z","text","ミス・モノクロームさんも今日で仕事納めですかね…？アニサマに出たり、シングル出したり、他の作品に出たり、撮影したりで今年もお疲れ様でした！
また、来年もがんばりましょう！m(__)m #モノクローム","","","13","6","1"
"2014-12-30T08:49:12.000Z","text","ミス・モノクロームさん(ゆるキャラ)による「月刊ミス・モノクローム」の店頭販売は終了致しました！
引き続き予約の方は受けたまっておりますのでぜひ宜しくお願い致しますm(__)m 
お帰りのみなさまはおきをつけて。 #モノクローム #C87","","","9","11",""
"2014-12-30T07:26:09.000Z","text","ただいま、国際展示場駅前のローソンにてミス・モノクロームさん(ゆるキャラ)が「月刊ミス・モノクローム」の先行販売の手売り中です！  #モノクローム #C87","","","10","8",""
"2014-12-30T07:24:11.000Z","text","ファンに囲まれるミス・モノクロームさん(ゆるキャラ)…！  #モノクローム #C87","","","11","7",""
"2014-12-30T07:23:30.000Z","text","今、国際展示場駅前のローソンに行けば、ミス・モノクロームさん(ゆるキャラ)の貴重な横姿が見れます！  #モノクローム #C87","","","12","9",""
"2014-12-30T06:59:33.000Z","text","ミス・モノクロームさん(ゆるキャラ)の国際展示場駅前ローソンでの店頭販売すたーと！(≧∇≦)  #モノクローム #C87","","","13","13","1"
"2014-12-30T05:05:39.000Z","text","次は16時からとなります！国際展示場駅前のローソンにて！宜しくお願いします！m(__)m #モノクローム #C87","","","9","5",""
"2014-12-30T05:04:14.000Z","text","かわいい！！(≧∇≦)  #モノクローム #C87","","","25","25",""
"2014-12-30T05:03:38.000Z","text","遅くなってしまいましたが、13時の回のミス・モノクロームさん(ゆるキャラ)になります！  #モノクローム","","","21","24",""
"2014-12-30T00:06:47.000Z","text","今日もミス・モノクロームさん(ゆるキャラ)が国際展示場駅前のローソンにて「月刊ミス・モノクローム」を販売します！
13時と16時の2回になっておりますm(__)m #C87 #モノクローム","","","9","21","2"
"2014-12-29T07:22:30.000Z","text","今日の店頭販売は終了しました！ご来場頂いたみなさまありがとうございました！
明日は13時からと好評につき16時からの2回になります！
コミケ最終日、ぜひお越しください！ #モノクローム #C87","","","16","16","1"
"2014-12-29T06:45:26.000Z","text","記念の1枚です☆(≧∇≦)  #モノクローム #C87","","","15","10","1"
"2014-12-29T06:37:42.000Z","text","開催場所は国際展示場駅前のローソンです！
  もうちょっとだけミス・モノクロームさん(ゆるキャラ)はいますよ…！ #モノクローム #C87","","","9","4",""
"2014-12-29T06:20:37.000Z","text","でも、後ろ姿は撮らせてくれないと思います。。  #モノクローム #C87","","","8","7","1"
"2014-12-29T06:20:12.000Z","text","写真撮影はもちろんOKですので、お近くにいらっしゃる方はぜひぜひ！  #モノクローム #C87","","","10","12","1"
"2014-12-29T06:18:52.000Z","text","今日のコスプレコンパニオンさんとの一枚です！(≧∇≦)  国際展示場駅のローソンにて「月刊ミス・モノクローム」の店頭販売中です☆ #モノクローム #C87","","","10","10","1"
"2014-12-29T06:17:33.000Z","text","こちらは「月刊ミス・モノクローム」たちですよー！(≧∇≦)(≧∇≦)(≧∇≦)(≧∇≦)  #モノクローム #C87","","","10","10","1"
"2014-12-29T06:16:04.000Z","text","今日も店頭販売始まります！  #モノクローム #C87","","","10","7","1"
"2014-12-29T05:10:35.000Z","text","今日は15時からですよー！国際展示場駅前のローソンです！ RT : キョウモ ローソンデ キグルミ キテ 月刊ミスモノクロームー！","","","16","10","1"
"2014-12-28T05:27:03.000Z","text","今日のミス・モノクロームさん(ゆるキャラ)の店頭販売は終了しました！明日は15時からおしごとです。宜しくお願いしますm(__)m #モノクローム","","","14","9","1"
"2014-12-28T05:05:28.000Z","text","「月刊ミス・モノクローム」の中身を少しお見せしますーー！！＼(^o^)／   #モノクローム","","","21","19",""
"2014-12-28T04:53:11.000Z","text","モノクロームさん(ゆるキャラ)のお渡し？？  #モノクローム","","","14","11",""
"2014-12-28T04:23:08.000Z","text","コミケ期間中、国際展示場駅のローソンで先行販売中の「月刊ミス・モノクローム」をご購入されますとこちらの光沢プリントをお渡しします！A4サイズです！かわいい(≧∇≦)  #モノクローム","","","19","22",""
"2014-12-28T04:14:00.000Z","text","ミス・モノクロームさん(ゆるキャラ)おしごと中。コスプレイヤーのお姉さんと。  #モノクローム #C87","","","18","21",""
"2014-12-28T04:13:07.000Z","text","ミス・モノクローム(ゆるキャラ)さんおしごと中。  #モノクローム #C87","","","12","11",""
